Lifeexpectancy ,AdultMortality,infantdeaths,underfivedeaths 
67,278,5,6
67.1,189,30,36
67.1,186,27,32
67.2,217,67,87
67.2,21,30,37
67.2,183,25,30
67.3,218,66,86
67.3,219,63,82
67.3,192,24,28
67.3,282,16,19
67.3,171,10,12
67.4,185,28,34
67.4,186,12,14
67.4,211,10,13
67.4,267,5,6
67.5,216,62,80
67.5,217,60,78
67.5,183,25,32
67.5,278,16,18
67.5,151,8,10
67.5,257,6,8
67.5,277,5,6
67.6,185,23,27
67.6,167,14,18
67.6,256,6,7
67.6,256,6,6
67.7,221,17,21
67.7,253,6,7
67.7,273,5,6
67.7,267,5,6
67.8,183,24,29
67.8,184,22,26
67.8,183,11,13
67.8,146,7,9
67.8,236,7,8
67.8,235,7,8
67.8,154,7,8
67.9,218,58,74
67.9,199,32,39
67.9,184,22,25
68,219,59,76
68,218,57,72
68,252,48,66
68,178,23,30
68,282,18,28
68,183,21,24
68,299,11,14
68,27,10,12
68,314,7,11
68.1,217,56,71
68.1,219,55,69
68.1,165,12,15
68.1,166,10,12
68.2,261,15,18
68.3,183,20,23
68.3,179,11,12
68.4,214,54,68
68.4,172,22,27
68.4,211,16,20
68.4,256,15,17
68.4,165,11,14
68.4,154,6,8
68.4,162,6,7
68.5,211,52,66
68.5,183,19,22
68.5,165,10,13
68.5,165,10,12
68.5,166,9,12
68.5,224,7,7
68.6,177,63,78
68.6,178,59,72
68.6,16,27,32
68.6,164,9,12
68.7,177,61,75
68.7,174,10,12
68.7,22,9,12
68.7,161,9,11
68.8,171,65,82
68.8,184,18,21
68.8,164,10,12
68.9,182,32,38
68.9,167,20,25
69,227,49,89
69,176,57,70
69,267,40,59
69,265,37,56
69,371,43,54
69,155,26,30
69,221,8,12
69,157,8,10
69.1,185,17,19
69.1,197,6,10
69.1,214,6,7
69.2,165,17,21
69.2,184,16,18
69.2,28,14,18
69.2,154,6,7
69.2,231,5,6
69.3,167,32,38
69.3,162,19,24
69.3,21,16,20
69.3,163,10,11
69.3,198,9,11
69.3,214,7,8
69.4,174,56,68
69.4,24,15,19
69.4,184,15,17
69.4,242,14,17
69.4,153,8,10
69.5,175,55,66
69.5,17,32,39
69.5,15,25,29
69.5,28,5,6
69.6,158,18,22
69.6,21,15,18
69.6,237,14,16
69.6,162,10,11
69.7,171,55,65
69.7,24,14,17
69.7,161,10,11
69.7,28,7,8
69.8,172,54,65
69.8,194,8,11
69.8,149,7,9
69.8,212,5,6
69.9,174,54,64
69.9,146,24,28
69.9,22,5,5
70,173,54,64
70,144,30,37
70,229,14,16
71,133,22,25
71,192,8,10
71,174,6,8
71,146,6,8
71.1,194,18,21
71.1,193,11,14
71.1,13,5,6
71.2,138,38,46
71.2,142,31,37
71.2,194,17,20
71.2,188,7,9
71.3,145,21,25
71.3,189,11,13
71.3,171,6,8
71.4,176,95,109
71.4,128,21,25
71.4,145,20,24
71.4,154,18,24
71.4,167,18,21
71.4,192,16,19
71.4,189,11,13
71.4,189,7,8
71.5,165,17,21
71.5,175,5,6
71.6,135,35,43
71.6,145,20,23
71.6,189,14,16
71.6,169,6,7
71.6,125,5,6
71.7,146,20,23
71.7,189,15,18
71.7,187,10,13
71.7,163,7,8
71.8,172,88,100
71.8,139,28,33
71.8,123,21,24
71.8,163,17,20
71.9,186,10,12
71.9,166,6,7
71.9,123,5,6
72,17,81,93
72,165,54,64
72,132,33,39
72,142,30,37
72,139,27,32
72,142,23,27
72,176,7,9
72.1,152,15,19
72.1,174,6,7
72.2,139,26,30
72.2,151,14,18
72.2,165,5,7
72.2,121,5,6
72.3,116,20,23
72.3,14,19,23
72.3,178,7,8
72.4,129,30,36
72.4,138,25,29
72.4,142,17,22
72.4,15,16,19
72.4,172,10,12
72.5,177,13,15
72.5,168,11,13
72.5,169,10,12
72.5,163,5,6
72.5,119,5,6
72.6,144,16,20
72.6,136,10,12
72.6,11,10,12
72.7,163,75,85
72.7,135,24,28
72.7,135,10,11
72.7,166,6,8
72.7,118,5,6
72.7,16,5,6
72.8,126,28,34
72.8,11,20,23
72.8,148,16,19
72.8,148,13,16
72.8,17,10,12
72.8,163,9,11
72.8,135,9,11
72.8,161,5,6
72.9,136,19,22
72.9,15,10,11
72.9,164,6,8
73,161,70,79
73,15,35,43
73,225,13,15
73,168,13,15
73,134,9,11
73,13,9,11
73,22,7,8
73,142,6,8
73,14,6,7
73,141,6,6
73,16,5,6
73.1,144,15,18
73.1,147,15,17
73.1,167,10,12
73.1,12,9,11
73.1,11,9,10
73.1,16,6,7
73.2,124,26,31
73.2,168,9,10
73.2,131,9,10
73.2,99,9,10
73.3,159,65,73
73.3,122,23,27
73.3,14,19,22
73.3,165,12,14
73.3,161,10,11
73.3,98,9,10
73.3,161,6,8
73.4,158,61,68
73.4,139,33,43
73.4,132,20,23
73.4,165,9,10
73.4,158,9,10
73.4,97,8,10
73.4,157,6,7
73.5,121,25,29
73.5,144,14,17
73.5,146,14,16
73.5,162,11,13
73.5,127,9,10
73.6,157,57,64
73.6,138,32,41
73.6,99,19,22
73.6,15,13,15
73.6,15,12,15
73.6,163,9,11
73.6,158,9,11
73.6,166,9,10
73.6,157,8,10
73.6,157,6,8
73.6,154,6,7
73.7,16,11,12
73.7,14,10,12
73.7,161,9,10
73.7,158,9,10
73.7,123,8,10
73.7,94,8,9
73.7,127,7,9
73.7,149,5,5
73.8,154,54,61
73.8,137,30,39
73.8,129,20,23
73.8,14,10,13
73.8,159,9,10
73.8,158,9,10
73.8,122,8,9
73.8,121,8,9
73.8,124,7,9
73.9,118,23,27
73.9,97,18,21
73.9,138,11,14
73.9,158,10,12
73.9,158,9,10
73.9,92,8,9
73.9,152,6,7
73.9,146,5,5
74,168,55,64
74,143,44,54
74,148,32,39
74,137,30,37
74,14,30,37
74,133,11,15
74,138,12,13
74,189,8,10
74.1,152,51,57
74.1,16,22,26
74.1,126,20,23
74.1,96,18,21
74.1,137,12,14
74.1,138,12,13
74.1,137,11,13
74.1,155,10,11
74.1,157,9,10
74.1,9,8,9
74.2,136,29,36
74.2,116,21,25
74.2,134,12,15
74.2,144,12,14
74.2,151,8,9
74.3,95,17,20
74.3,143,11,13
74.3,154,9,11
74.3,89,8,9
74.4,136,29,36
74.4,123,20,23
74.4,145,11,13
74.4,151,8,10
74.4,148,8,9
74.4,144,8,9
74.4,88,7,9
74.5,148,49,54
74.5,114,20,23
74.5,133,9,12
74.5,153,9,10
74.5,88,7,8
74.6,136,28,35
74.6,144,11,12
74.6,152,8,10
74.6,139,7,9
74.7,146,46,52
74.7,136,28,35
74.7,93,22,25
74.7,119,21,24
74.7,13,11,12
74.7,14,7,9
74.8,129,55,66
74.8,144,44,49
74.8,112,19,22
74.8,143,10,12
74.8,129,10,12
74.9,135,28,35
74.9,116,21,24
74.9,127,11,12
74.9,129,9,11
74.9,148,8,9
75,126,52,62
75,127,49,58
75,127,46,55
75,142,42,47
75,154,29,35
75,134,29,35
75,192,13,16
75,222,13,15
75,134,7,8
75,24,5,5
75.1,113,21,24
75.1,85,21,24
75.1,137,7,8
75.2,133,29,35
75.2,19,17,20
75.2,127,11,12
75.3,126,42,49
75.3,112,21,24
75.3,83,20,23
75.3,125,8,11
75.3,125,8,10
75.3,131,7,8
75.4,124,44,52
75.4,131,29,36
75.4,11,21,24
75.4,83,19,22
75.4,126,10,11
75.5,83,18,21
75.5,17,16,19
75.5,121,10,11
75.5,123,8,10
75.5,127,7,8
75.6,127,37,43
75.6,127,35,40
75.6,13,29,36
75.6,19,21,24
75.6,126,10,11
75.7,13,36,42
75.7,129,28,35
75.7,12,9,10
75.8,125,40,47
75.8,16,15,18
75.9,128,28,35
75.9,12,9,10
76,123,38,45
76,147,32,39
76,145,32,39
76,127,28,35
76,198,12,15
76,119,8,10
76,121,6,8
76,139,6,7
76,121,6,7
76.1,124,34,39
76.2,118,8,9
76.2,118,6,7
76.3,123,33,38
76.3,116,8,9
76.6,12,32,37
76.6,122,31,36
76.7,122,30,35
76.8,114,28,33
76.9,115,28,33
77,144,32,39
77,115,28,33
77,137,22,26
77,196,12,14
77,186,8,10
77,25,5,5
77.2,114,28,33
77.5,112,28,33
77.5,111,28,33
77.8,113,28,33
78,161,53,62
78,14,41,50
78,146,33,40
78,132,6,6
78.1,11,27,32
78.2,18,27,31
78.5,18,26,31
78.7,15,25,30
78.7,16,25,29
78.8,16,24,28
78.9,16,23,27
79,159,54,63
79,159,51,60
79,19,13,15
79.1,14,23,27
79.3,13,23,26
